Tennis French Open 2011 Mens Tournament Third Round Matches A Murray v Berrer 
Set Betting
Timestamp,Timestamp,Inplay delay,Market status,Selection name,BP1,BV1,LP1,LV1,Total matched,LPM
1306583471650,Sat May 28 12:51:11 BST 2011,5,ACTIVE,A Murray 3 - 0,1.5,11.26,2.0,119.0,239201.02,1.5,
1306583478650,Sat May 28 12:51:18 BST 2011,5,ACTIVE,A Murray 3 - 0,1.5,11.26,1.7,78.3,239201.02,1.5,
1306583487650,Sat May 28 12:51:27 BST 2011,5,ACTIVE,A Murray 3 - 0,1.5,2.6,1.7,54.81,239218.34,1.5,
1306583494650,Sat May 28 12:51:34 BST 2011,5,ACTIVE,A Murray 3 - 0,1.5,2.6,1.7,54.81,239218.34,1.5,
1306583506650,Sat May 28 12:51:46 BST 2011,5,ACTIVE,A Murray 3 - 0,1.5,2.6,1.7,39.15,239218.34,1.5,
1306583520650,Sat May 28 12:52:00 BST 2011,5,ACTIVE,A Murray 3 - 0,1.5,2.6,1.6,49.4,239218.34,1.5,
1306583522650,Sat May 28 12:52:02 BST 2011,5,ACTIVE,A Murray 3 - 0,1.32,75.4,1.5,17.4,239223.55,1.5,
1306583559650,Sat May 28 12:52:39 BST 2011,5,ACTIVE,A Murray 3 - 0,1.32,75.4,1.5,17.4,239223.55,1.5,
1306583655650,Sat May 28 12:54:15 BST 2011,5,ACTIVE,A Murray 3 - 0,1.32,75.4,1.5,17.4,239223.55,1.5,
1306583660650,Sat May 28 12:54:20 BST 2011,5,ACTIVE,A Murray 3 - 0,1.12,883.0,1.5,17.4,239374.19,1.32,
1306583684650,Sat May 28 12:54:44 BST 2011,5,ACTIVE,A Murray 3 - 0,1.15,33.0,1.5,17.4,239374.19,1.32,
1306583691650,Sat May 28 12:54:51 BST 2011,5,ACTIVE,A Murray 3 - 0,1.16,35.75,1.5,17.4,239374.19,1.32,
1306583693650,Sat May 28 12:54:53 BST 2011,5,ACTIVE,A Murray 3 - 0,1.16,35.75,1.5,17.4,239374.19,1.32,
1306583699650,Sat May 28 12:54:59 BST 2011,5,ACTIVE,A Murray 3 - 0,1.16,35.75,1.5,17.4,239374.19,1.32,
1306583706650,Sat May 28 12:55:06 BST 2011,5,ACTIVE,A Murray 3 - 0,1.16,35.75,1.5,17.4,239374.19,1.32,
1306583708650,Sat May 28 12:55:08 BST 2011,5,ACTIVE,A Murray 3 - 0,1.15,33.0,1.5,17.4,239374.19,1.32,
1306583718650,Sat May 28 12:55:18 BST 2011,5,ACTIVE,A Murray 3 - 0,1.15,33.0,1.5,17.4,239374.19,1.32,
1306583721650,Sat May 28 12:55:21 BST 2011,5,ACTIVE,A Murray 3 - 0,1.15,33.0,1.5,17.4,239374.19,1.32,
1306583725650,Sat May 28 12:55:25 BST 2011,5,ACTIVE,A Murray 3 - 0,1.31,420.0,1.5,17.4,239374.19,1.32,
1306583726650,Sat May 28 12:55:26 BST 2011,5,ACTIVE,A Murray 3 - 0,1.31,420.0,1.5,17.4,239374.19,1.32,
1306583728650,Sat May 28 12:55:28 BST 2011,5,ACTIVE,A Murray 3 - 0,1.31,420.0,1.4,192.4,239374.19,1.32,
1306583733650,Sat May 28 12:55:33 BST 2011,5,ACTIVE,A Murray 3 - 0,1.31,420.0,1.4,192.4,239374.19,1.32,
1306583737650,Sat May 28 12:55:37 BST 2011,5,ACTIVE,A Murray 3 - 0,1.31,310.8,1.4,192.4,239592.6,1.31,
