Tennis Sony Ericsson Open 2011 Womens Tournament The Final Sharapova v Azarenka 
Match Odds
Timestamp,Inplay delay,Market status,Selection name,BP1,BV1,LP1,LV1,Total matched,LPM
Sat Apr 02 17:44:20 BST 2011,5,ACTIVE,Maria Sharapova,2.48,18.7,2.88,4.41,133390.88,2.84,
Sat Apr 02 17:44:21 BST 2011,5,ACTIVE,Maria Sharapova,2.48,18.7,2.8,44.14,133390.88,2.84,
Sat Apr 02 17:44:23 BST 2011,5,ACTIVE,Maria Sharapova,2.48,18.7,2.8,44.14,133390.88,2.84,
Sat Apr 02 17:44:24 BST 2011,5,ACTIVE,Maria Sharapova,2.48,18.7,2.9,2.64,133390.88,2.84,
Sat Apr 02 17:44:28 BST 2011,5,ACTIVE,Maria Sharapova,2.48,18.7,2.9,2.64,133400.88,2.6,
Sat Apr 02 17:44:29 BST 2011,5,ACTIVE,Maria Sharapova,2.48,18.7,2.8,189.43,133400.88,2.6,
Sat Apr 02 17:44:31 BST 2011,5,ACTIVE,Maria Sharapova,2.48,18.7,2.8,189.43,133400.88,2.6,
Sat Apr 02 17:44:33 BST 2011,5,ACTIVE,Maria Sharapova,2.48,18.7,2.8,12.85,133400.88,2.6,
Sat Apr 02 17:44:34 BST 2011,5,ACTIVE,Maria Sharapova,2.48,18.7,2.8,12.85,133400.88,2.6,
Sat Apr 02 17:44:35 BST 2011,5,ACTIVE,Maria Sharapova,2.48,18.7,2.8,12.85,133400.88,2.6,
Sat Apr 02 17:44:36 BST 2011,5,ACTIVE,Maria Sharapova,2.48,18.7,2.8,12.85,133402.88,2.58,
Sat Apr 02 17:44:37 BST 2011,5,ACTIVE,Maria Sharapova,2.48,18.7,2.78,44.14,133402.88,2.58,
Sat Apr 02 17:44:38 BST 2011,5,ACTIVE,Maria Sharapova,2.48,18.7,2.78,44.14,133420.55,2.58,
Sat Apr 02 17:44:41 BST 2011,5,ACTIVE,Maria Sharapova,2.48,18.7,2.78,44.14,133425.84,2.52,
Sat Apr 02 17:44:42 BST 2011,5,ACTIVE,Maria Sharapova,2.48,18.7,2.78,44.14,133525.84,2.52,
Sat Apr 02 17:44:43 BST 2011,5,ACTIVE,Maria Sharapova,2.48,18.7,2.78,44.14,133610.6,2.52,
Sat Apr 02 17:44:45 BST 2011,5,ACTIVE,Maria Sharapova,2.48,18.7,2.78,44.14,133610.6,2.52,
Sat Apr 02 17:44:46 BST 2011,5,ACTIVE,Maria Sharapova,2.48,18.7,2.78,44.14,133628.27,2.52,
Sat Apr 02 17:44:47 BST 2011,5,ACTIVE,Maria Sharapova,2.48,18.7,2.78,44.14,133659.44,2.52,
Sat Apr 02 17:44:48 BST 2011,5,ACTIVE,Maria Sharapova,2.48,18.7,2.78,44.14,133668.44,2.52,
Sat Apr 02 17:44:49 BST 2011,5,ACTIVE,Maria Sharapova,2.54,88.29,2.78,44.14,133668.44,2.52,
Sat Apr 02 17:44:50 BST 2011,5,ACTIVE,Maria Sharapova,2.54,88.29,2.78,44.14,133668.44,2.52,
Sat Apr 02 17:44:51 BST 2011,5,ACTIVE,Maria Sharapova,2.48,18.7,2.78,44.14,133668.44,2.52,
Sat Apr 02 17:44:53 BST 2011,5,ACTIVE,Maria Sharapova,2.48,18.7,2.78,44.14,133827.38,2.52,
Sat Apr 02 17:44:54 BST 2011,5,ACTIVE,Maria Sharapova,2.48,18.7,2.52,3.02,133827.38,2.52,
Sat Apr 02 17:44:56 BST 2011,5,ACTIVE,Maria Sharapova,2.48,18.7,2.78,44.14,133836.56,2.54,
Sat Apr 02 17:44:57 BST 2011,5,ACTIVE,Maria Sharapova,2.4,30.55,2.78,44.14,133855.27,2.48,
Sat Apr 02 17:45:02 BST 2011,5,ACTIVE,Maria Sharapova,2.4,30.55,2.78,44.14,133855.27,2.48,
Sat Apr 02 17:45:03 BST 2011,5,ACTIVE,Maria Sharapova,2.4,30.55,2.8,510.0,133855.27,2.48,
Sat Apr 02 17:45:04 BST 2011,5,ACTIVE,Maria Sharapova,2.26,12.0,2.52,100.0,133916.38,2.4,
Sat Apr 02 17:45:07 BST 2011,5,ACTIVE,Maria Sharapova,2.26,12.0,2.52,276.58,133916.38,2.4,
Sat Apr 02 17:45:08 BST 2011,5,ACTIVE,Maria Sharapova,2.26,12.0,2.4,35.31,133916.38,2.4,
Sat Apr 02 17:45:10 BST 2011,5,ACTIVE,Maria Sharapova,2.26,12.0,2.52,276.58,134038.23,2.4,
