Tennis Sony Ericsson Open 2011 Womens Tournament The Final Sharapova v Azarenka 
Match Odds
Sat Apr 02 17:30:00 BST 2011
Timestamp,Inplay delay,Market status,Selection name,BP1,BV1,LP1,LV1,Total matched,LPM
Sat Apr 02 09:47:23 BST 2011,0,ACTIVE,Victoria Azarenka,1.67,1520.76,1.68,1618.25,52028.05,1.67,
Sat Apr 02 09:47:24 BST 2011,0,ACTIVE,Victoria Azarenka,1.67,1520.76,1.68,1618.25,52028.05,1.67,
Sat Apr 02 09:47:25 BST 2011,0,ACTIVE,Victoria Azarenka,1.67,1520.76,1.68,1618.25,52028.05,1.67,
Sat Apr 02 09:47:26 BST 2011,0,ACTIVE,Victoria Azarenka,1.67,1520.76,1.68,1618.25,52028.05,1.67,
Sat Apr 02 09:47:27 BST 2011,0,ACTIVE,Victoria Azarenka,1.67,1520.76,1.68,1618.25,52028.05,1.67,
Sat Apr 02 09:47:28 BST 2011,0,ACTIVE,Victoria Azarenka,1.67,1520.76,1.68,1618.25,52028.05,1.67,
Sat Apr 02 09:47:29 BST 2011,0,ACTIVE,Victoria Azarenka,1.67,1520.76,1.68,1618.25,52028.05,1.67,
Sat Apr 02 09:47:30 BST 2011,0,ACTIVE,Victoria Azarenka,1.67,1520.76,1.68,1618.25,52028.05,1.67,
Sat Apr 02 09:47:31 BST 2011,0,ACTIVE,Victoria Azarenka,1.67,1520.76,1.68,1618.25,52028.05,1.67,
Sat Apr 02 09:47:32 BST 2011,0,ACTIVE,Victoria Azarenka,1.67,1520.76,1.68,1618.25,52028.05,1.67,
Sat Apr 02 09:47:33 BST 2011,0,ACTIVE,Victoria Azarenka,1.67,1520.76,1.68,1618.25,52028.05,1.67,
Sat Apr 02 09:47:34 BST 2011,0,ACTIVE,Victoria Azarenka,1.67,1520.76,1.68,1618.25,52028.05,1.67,
Sat Apr 02 09:47:35 BST 2011,0,ACTIVE,Victoria Azarenka,1.67,1520.76,1.68,1618.25,52028.05,1.67,
Sat Apr 02 09:47:36 BST 2011,0,ACTIVE,Victoria Azarenka,1.67,1520.76,1.68,1618.25,52028.05,1.67,
Sat Apr 02 09:47:37 BST 2011,0,ACTIVE,Victoria Azarenka,1.67,1520.76,1.68,1618.25,52028.05,1.67,
Sat Apr 02 09:47:38 BST 2011,0,ACTIVE,Victoria Azarenka,1.67,1520.76,1.68,1618.25,52028.05,1.67,
Sat Apr 02 09:47:39 BST 2011,0,ACTIVE,Victoria Azarenka,1.67,1520.76,1.68,1618.25,52028.05,1.67,
