Tennis Sony Ericsson Open 2011 Womens Tournament The Final Sharapova v Azarenka 
Match Odds
Sat Apr 02 17:30:00 BST 2011
Timestamp,Inplay delay,Market status,Selection name,BP1,BV1,LP1,LV1,Total matched,LPM
Sat Apr 02 09:47:28 BST 2011,0,ACTIVE,Maria Sharapova,2.46,5.29,2.5,104.74,12387.9,2.48,
Sat Apr 02 09:47:29 BST 2011,0,ACTIVE,Maria Sharapova,2.46,5.29,2.5,104.74,12387.9,2.48,
Sat Apr 02 09:47:30 BST 2011,0,ACTIVE,Maria Sharapova,2.46,5.29,2.5,104.74,12387.9,2.48,
Sat Apr 02 09:47:31 BST 2011,0,ACTIVE,Maria Sharapova,2.46,5.29,2.5,104.74,12387.9,2.48,
Sat Apr 02 09:47:32 BST 2011,0,ACTIVE,Maria Sharapova,2.46,5.29,2.5,104.74,12387.9,2.48,
Sat Apr 02 09:47:33 BST 2011,0,ACTIVE,Maria Sharapova,2.46,5.29,2.5,104.74,12387.9,2.48,
Sat Apr 02 09:47:34 BST 2011,0,ACTIVE,Maria Sharapova,2.46,5.29,2.5,104.74,12387.9,2.48,
Sat Apr 02 09:47:35 BST 2011,0,ACTIVE,Maria Sharapova,2.46,5.29,2.5,104.74,12387.9,2.48,
Sat Apr 02 09:47:36 BST 2011,0,ACTIVE,Maria Sharapova,2.46,5.29,2.5,104.74,12387.9,2.48,
Sat Apr 02 09:47:37 BST 2011,0,ACTIVE,Maria Sharapova,2.46,5.29,2.5,104.74,12387.9,2.48,
Sat Apr 02 09:47:38 BST 2011,0,ACTIVE,Maria Sharapova,2.46,5.29,2.5,104.74,12387.9,2.48,
Sat Apr 02 09:47:39 BST 2011,0,ACTIVE,Maria Sharapova,2.46,5.29,2.5,104.74,12387.9,2.48,
Sat Apr 02 09:47:40 BST 2011,0,ACTIVE,Maria Sharapova,2.46,5.29,2.5,104.74,12387.9,2.48,
Sat Apr 02 09:47:41 BST 2011,0,ACTIVE,Maria Sharapova,2.46,5.29,2.5,104.74,12387.9,2.48,
Sat Apr 02 09:47:42 BST 2011,0,ACTIVE,Maria Sharapova,2.46,5.29,2.5,104.74,12387.9,2.48,
Sat Apr 02 09:47:43 BST 2011,0,ACTIVE,Maria Sharapova,2.46,5.29,2.5,104.74,12387.9,2.48,
Sat Apr 02 09:47:44 BST 2011,0,ACTIVE,Maria Sharapova,2.46,5.29,2.5,104.74,12387.9,2.48,
Sat Apr 02 09:47:45 BST 2011,0,ACTIVE,Maria Sharapova,2.46,5.29,2.5,104.74,12387.9,2.48,
Sat Apr 02 09:47:46 BST 2011,0,ACTIVE,Maria Sharapova,2.46,5.29,2.5,104.74,12387.9,2.48,
Sat Apr 02 09:47:47 BST 2011,0,ACTIVE,Maria Sharapova,2.46,5.29,2.5,104.74,12387.9,2.48,
Sat Apr 02 09:47:48 BST 2011,0,ACTIVE,Maria Sharapova,2.46,5.29,2.5,104.74,12387.9,2.48,
Sat Apr 02 09:47:49 BST 2011,0,ACTIVE,Maria Sharapova,2.46,5.29,2.5,104.74,12387.9,2.48,
Sat Apr 02 09:47:50 BST 2011,0,ACTIVE,Maria Sharapova,2.46,5.29,2.5,104.74,12387.9,2.48,
Sat Apr 02 09:47:51 BST 2011,0,ACTIVE,Maria Sharapova,2.46,5.29,2.5,104.74,12387.9,2.48,
Sat Apr 02 09:47:52 BST 2011,0,ACTIVE,Maria Sharapova,2.46,5.29,2.5,104.74,12387.9,2.48,
Sat Apr 02 09:47:53 BST 2011,0,ACTIVE,Maria Sharapova,2.46,5.29,2.5,104.74,12387.9,2.48,
Sat Apr 02 09:47:54 BST 2011,0,ACTIVE,Maria Sharapova,2.46,5.29,2.5,104.74,12387.9,2.48,
Sat Apr 02 09:47:55 BST 2011,0,ACTIVE,Maria Sharapova,2.46,5.29,2.5,104.74,12387.9,2.48,
Sat Apr 02 09:47:56 BST 2011,0,ACTIVE,Maria Sharapova,2.46,5.29,2.5,104.74,12387.9,2.48,
Sat Apr 02 09:47:57 BST 2011,0,ACTIVE,Maria Sharapova,2.46,5.29,2.5,104.74,12387.9,2.48,
Sat Apr 02 09:47:58 BST 2011,0,ACTIVE,Maria Sharapova,2.46,5.29,2.5,104.74,12387.9,2.48,
Sat Apr 02 09:47:59 BST 2011,0,ACTIVE,Maria Sharapova,2.46,5.29,2.5,104.74,12387.9,2.48,
Sat Apr 02 09:48:00 BST 2011,0,ACTIVE,Maria Sharapova,2.46,5.29,2.5,104.74,12387.9,2.48,
Sat Apr 02 09:48:01 BST 2011,0,ACTIVE,Maria Sharapova,2.46,5.29,2.5,104.74,12387.9,2.48,
Sat Apr 02 09:48:02 BST 2011,0,ACTIVE,Maria Sharapova,2.46,5.29,2.5,104.74,12387.9,2.48,
Sat Apr 02 09:48:03 BST 2011,0,ACTIVE,Maria Sharapova,2.46,5.29,2.5,104.74,12387.9,2.48,
Sat Apr 02 09:48:04 BST 2011,0,ACTIVE,Maria Sharapova,2.46,5.29,2.5,104.74,12387.9,2.48,
Sat Apr 02 09:48:05 BST 2011,0,ACTIVE,Maria Sharapova,2.46,5.29,2.5,104.74,12387.9,2.48,
Sat Apr 02 09:48:06 BST 2011,0,ACTIVE,Maria Sharapova,2.46,5.29,2.5,104.74,12387.9,2.48,
Sat Apr 02 09:48:07 BST 2011,0,ACTIVE,Maria Sharapova,2.46,5.29,2.5,104.74,12387.9,2.48,
Sat Apr 02 09:48:08 BST 2011,0,ACTIVE,Maria Sharapova,2.46,5.29,2.5,104.74,12387.9,2.48,
Sat Apr 02 09:48:09 BST 2011,0,ACTIVE,Maria Sharapova,2.46,5.29,2.5,104.74,12387.9,2.48,
Sat Apr 02 09:48:10 BST 2011,0,ACTIVE,Maria Sharapova,2.46,5.29,2.5,104.74,12387.9,2.48,
Sat Apr 02 09:48:11 BST 2011,0,ACTIVE,Maria Sharapova,2.46,5.29,2.5,104.74,12387.9,2.48,
Sat Apr 02 09:48:12 BST 2011,0,ACTIVE,Maria Sharapova,2.46,5.29,2.5,104.74,12387.9,2.48,
Sat Apr 02 09:48:13 BST 2011,0,ACTIVE,Maria Sharapova,2.46,5.29,2.5,104.74,12387.9,2.48,
Sat Apr 02 09:48:14 BST 2011,0,ACTIVE,Maria Sharapova,2.46,5.29,2.5,104.74,12387.9,2.48,
Sat Apr 02 09:48:15 BST 2011,0,ACTIVE,Maria Sharapova,2.46,5.29,2.5,104.74,12387.9,2.48,
Sat Apr 02 09:48:16 BST 2011,0,ACTIVE,Maria Sharapova,2.46,5.29,2.5,104.74,12387.9,2.48,
Sat Apr 02 09:48:17 BST 2011,0,ACTIVE,Maria Sharapova,2.46,5.29,2.5,104.74,12387.9,2.48,
Sat Apr 02 09:48:18 BST 2011,0,ACTIVE,Maria Sharapova,2.46,5.29,2.5,104.74,12387.9,2.48,
Sat Apr 02 09:48:19 BST 2011,0,ACTIVE,Maria Sharapova,2.46,5.29,2.5,104.74,12387.9,2.48,
Sat Apr 02 09:48:20 BST 2011,0,ACTIVE,Maria Sharapova,2.46,5.29,2.5,104.74,12387.9,2.48,
Sat Apr 02 09:48:21 BST 2011,0,ACTIVE,Maria Sharapova,2.46,5.29,2.5,104.74,12387.9,2.48,
Sat Apr 02 09:48:22 BST 2011,0,ACTIVE,Maria Sharapova,2.46,5.29,2.5,104.74,12387.9,2.48,
Sat Apr 02 09:48:23 BST 2011,0,ACTIVE,Maria Sharapova,2.46,5.29,2.5,104.74,12387.9,2.48,
Sat Apr 02 09:48:24 BST 2011,0,ACTIVE,Maria Sharapova,2.46,5.29,2.5,104.74,12387.9,2.48,
Sat Apr 02 09:48:25 BST 2011,0,ACTIVE,Maria Sharapova,2.46,5.29,2.5,104.74,12387.9,2.48,
Sat Apr 02 09:48:26 BST 2011,0,ACTIVE,Maria Sharapova,2.46,5.29,2.5,104.74,12387.9,2.48,
Sat Apr 02 09:48:27 BST 2011,0,ACTIVE,Maria Sharapova,2.46,5.29,2.5,104.74,12387.9,2.48,
Sat Apr 02 09:48:28 BST 2011,0,ACTIVE,Maria Sharapova,2.46,5.29,2.5,104.74,12387.9,2.48,
Sat Apr 02 09:48:29 BST 2011,0,ACTIVE,Maria Sharapova,2.46,5.29,2.5,104.74,12387.9,2.48,
Sat Apr 02 09:48:30 BST 2011,0,ACTIVE,Maria Sharapova,2.46,5.29,2.5,104.74,12387.9,2.48,
Sat Apr 02 09:48:31 BST 2011,0,ACTIVE,Maria Sharapova,2.46,5.29,2.5,104.74,12387.9,2.48,
Sat Apr 02 09:48:32 BST 2011,0,ACTIVE,Maria Sharapova,2.46,5.29,2.5,104.74,12387.9,2.48,
Sat Apr 02 09:48:33 BST 2011,0,ACTIVE,Maria Sharapova,2.46,5.29,2.5,104.74,12387.9,2.48,
Sat Apr 02 09:48:34 BST 2011,0,ACTIVE,Maria Sharapova,2.46,5.29,2.5,104.74,12387.9,2.48,
Sat Apr 02 09:48:35 BST 2011,0,ACTIVE,Maria Sharapova,2.46,5.29,2.5,104.74,12387.9,2.48,
Sat Apr 02 09:48:36 BST 2011,0,ACTIVE,Maria Sharapova,2.46,5.29,2.5,104.74,12387.9,2.48,
Sat Apr 02 09:48:37 BST 2011,0,ACTIVE,Maria Sharapova,2.46,5.29,2.5,104.74,12387.9,2.48,
Sat Apr 02 09:48:38 BST 2011,0,ACTIVE,Maria Sharapova,2.46,5.29,2.5,104.74,12387.9,2.48,
Sat Apr 02 09:48:39 BST 2011,0,ACTIVE,Maria Sharapova,2.46,5.29,2.5,104.74,12387.9,2.48,
Sat Apr 02 09:48:40 BST 2011,0,ACTIVE,Maria Sharapova,2.46,5.29,2.5,104.74,12387.9,2.48,
Sat Apr 02 09:48:41 BST 2011,0,ACTIVE,Maria Sharapova,2.46,5.29,2.5,104.74,12387.9,2.48,
Sat Apr 02 09:48:42 BST 2011,0,ACTIVE,Maria Sharapova,2.46,5.29,2.5,104.74,12387.9,2.48,
Sat Apr 02 09:48:43 BST 2011,0,ACTIVE,Maria Sharapova,2.46,5.29,2.5,104.74,12387.9,2.48,
Sat Apr 02 09:48:44 BST 2011,0,ACTIVE,Maria Sharapova,2.46,5.29,2.5,104.74,12387.9,2.48,
Sat Apr 02 09:48:45 BST 2011,0,ACTIVE,Maria Sharapova,2.46,5.29,2.5,104.74,12387.9,2.48,
Sat Apr 02 09:48:46 BST 2011,0,ACTIVE,Maria Sharapova,2.46,5.29,2.5,104.74,12387.9,2.48,
Sat Apr 02 09:48:47 BST 2011,0,ACTIVE,Maria Sharapova,2.46,5.29,2.5,104.74,12387.9,2.48,
Sat Apr 02 09:48:48 BST 2011,0,ACTIVE,Maria Sharapova,2.46,5.29,2.5,104.74,12387.9,2.48,
Sat Apr 02 09:48:49 BST 2011,0,ACTIVE,Maria Sharapova,2.46,5.29,2.5,104.74,12387.9,2.48,
Sat Apr 02 09:48:50 BST 2011,0,ACTIVE,Maria Sharapova,2.46,5.29,2.5,104.74,12387.9,2.48,
Sat Apr 02 09:48:51 BST 2011,0,ACTIVE,Maria Sharapova,2.46,5.29,2.5,104.74,12387.9,2.48,
Sat Apr 02 09:48:52 BST 2011,0,ACTIVE,Maria Sharapova,2.46,5.29,2.5,104.74,12387.9,2.48,
Sat Apr 02 09:48:53 BST 2011,0,ACTIVE,Maria Sharapova,2.46,5.29,2.5,104.74,12387.9,2.48,
Sat Apr 02 09:48:54 BST 2011,0,ACTIVE,Maria Sharapova,2.46,5.29,2.5,104.74,12387.9,2.48,
Sat Apr 02 09:48:55 BST 2011,0,ACTIVE,Maria Sharapova,2.46,5.29,2.5,104.74,12387.9,2.48,
Sat Apr 02 09:48:56 BST 2011,0,ACTIVE,Maria Sharapova,2.46,5.29,2.5,104.74,12387.9,2.48,
Sat Apr 02 09:48:57 BST 2011,0,ACTIVE,Maria Sharapova,2.46,5.29,2.5,104.74,12387.9,2.48,
Sat Apr 02 09:48:58 BST 2011,0,ACTIVE,Maria Sharapova,2.46,5.29,2.5,104.74,12387.9,2.48,
Sat Apr 02 09:48:59 BST 2011,0,ACTIVE,Maria Sharapova,2.46,5.29,2.5,104.74,12387.9,2.48,
Sat Apr 02 09:49:00 BST 2011,0,ACTIVE,Maria Sharapova,2.46,5.29,2.5,104.74,12387.9,2.48,
Sat Apr 02 09:49:01 BST 2011,0,ACTIVE,Maria Sharapova,2.46,5.29,2.5,104.74,12387.9,2.48,
Sat Apr 02 09:49:02 BST 2011,0,ACTIVE,Maria Sharapova,2.46,5.29,2.5,104.74,12387.9,2.48,
Sat Apr 02 09:49:03 BST 2011,0,ACTIVE,Maria Sharapova,2.46,5.29,2.5,104.74,12387.9,2.48,
Sat Apr 02 09:49:04 BST 2011,0,ACTIVE,Maria Sharapova,2.46,5.29,2.5,104.74,12387.9,2.48,
Sat Apr 02 09:49:05 BST 2011,0,ACTIVE,Maria Sharapova,2.46,5.29,2.5,104.74,12387.9,2.48,
Sat Apr 02 09:49:06 BST 2011,0,ACTIVE,Maria Sharapova,2.46,5.29,2.5,104.74,12387.9,2.48,
