Tennis Sony Ericsson Open 2011 Womens Tournament The Final Sharapova v Azarenka 
Match Odds
Timestamp,Timestamp,Inplay delay,Market status,Selection name,BP1,BV1,LP1,LV1,Total matched,LPM
1301764920285,Sat Apr 02 18:22:00 BST 2011,5,ACTIVE,Victoria Azarenka,1.16,8015.0,1.17,20211.97,2019299.5,1.16,
1301764921285,Sat Apr 02 18:22:01 BST 2011,5,ACTIVE,Victoria Azarenka,1.16,8015.0,1.17,20093.56,2019536.2,1.17,
1301764922285,Sat Apr 02 18:22:02 BST 2011,5,ACTIVE,Victoria Azarenka,1.16,8012.5,1.17,18890.24,2019541.2,1.16,
1301764923285,Sat Apr 02 18:22:03 BST 2011,5,ACTIVE,Victoria Azarenka,1.16,6494.53,1.17,18890.24,2019560.0,1.16,
1301764924285,Sat Apr 02 18:22:04 BST 2011,5,ACTIVE,Victoria Azarenka,1.16,6494.53,1.17,18613.36,2020113.8,1.17,
1301764925285,Sat Apr 02 18:22:05 BST 2011,5,ACTIVE,Victoria Azarenka,1.16,6494.53,1.17,18611.15,2020118.1,1.17,
1301764926285,Sat Apr 02 18:22:06 BST 2011,5,ACTIVE,Victoria Azarenka,1.16,6494.53,1.17,18539.26,2020204.5,1.17,
1301764927285,Sat Apr 02 18:22:07 BST 2011,5,ACTIVE,Victoria Azarenka,1.16,6491.0,1.17,18539.26,2020211.5,1.16,
1301764928285,Sat Apr 02 18:22:08 BST 2011,5,ACTIVE,Victoria Azarenka,1.16,6491.0,1.17,18539.26,2020211.5,1.16,
1301764929285,Sat Apr 02 18:22:09 BST 2011,5,ACTIVE,Victoria Azarenka,1.16,6491.0,1.17,18536.77,2020216.5,1.17,
1301764930285,Sat Apr 02 18:22:10 BST 2011,5,ACTIVE,Victoria Azarenka,1.16,6491.0,1.17,18511.77,2020266.5,1.17,
1301764931285,Sat Apr 02 18:22:11 BST 2011,5,ACTIVE,Victoria Azarenka,1.16,6491.0,1.17,18441.14,2020407.8,1.17,
1301764932285,Sat Apr 02 18:22:12 BST 2011,5,ACTIVE,Victoria Azarenka,1.16,6880.23,1.17,3.0,2020407.8,1.17,
1301764933285,Sat Apr 02 18:22:13 BST 2011,5,ACTIVE,Victoria Azarenka,1.17,58.73,1.18,8973.88,2020590.4,1.17,
1301764935285,Sat Apr 02 18:22:15 BST 2011,5,ACTIVE,Victoria Azarenka,1.17,458.73,1.18,8973.88,2020590.4,1.17,
1301764936285,Sat Apr 02 18:22:16 BST 2011,5,ACTIVE,Victoria Azarenka,1.16,6101.3,1.18,8973.88,2023289.1,1.16,
1301764937285,Sat Apr 02 18:22:17 BST 2011,5,ACTIVE,Victoria Azarenka,1.17,7423.26,1.18,8973.88,2023289.1,1.16,
1301764938285,Sat Apr 02 18:22:18 BST 2011,5,ACTIVE,Victoria Azarenka,1.17,10777.25,1.18,8973.88,2023489.1,1.17,
